,MSRDT_DE,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
11137,20171013,송파구,0.026000000000000002,0.012,0.4,0.003,25.0,13.0
11176,20171014,송파구,0.023,0.019,0.4,0.004,21.0,10.0
11215,20171015,송파구,0.021,0.021,0.4,0.004,21.0,11.0
11254,20171016,송파구,0.027000000000000003,0.016,0.4,0.004,27.0,14.0
11293,20171017,송파구,0.034,0.013999999999999999,0.5,0.004,36.0,18.0
11332,20171018,송파구,0.025,0.018000000000000002,0.3,0.004,22.0,12.0
11371,20171019,송파구,0.024,0.02,0.3,0.004,16.0,8.0
11410,20171020,송파구,0.036000000000000004,0.012,0.5,0.005,26.0,12.0
11449,20171021,송파구,0.034,0.013000000000000001,0.5,0.004,35.0,17.0
11488,20171022,송파구,0.017,0.027000000000000003,0.3,0.004,20.0,10.0
11527,20171023,송파구,0.024,0.025,0.3,0.003,26.0,9.0
11566,20171024,송파구,0.035,0.012,0.4,0.004,31.0,13.0
11605,20171025,송파구,0.04,0.013999999999999999,0.5,0.004,39.0,20.0
11644,20171026,송파구,0.046,0.009000000000000001,0.7,0.005,47.0,25.0
11683,20171027,송파구,0.043,0.017,0.7,0.005,54.0,29.0
11722,20171028,송파구,0.040999999999999995,0.016,0.6,0.004,44.0,24.0
11761,20171029,송파구,0.024,0.02,0.5,0.005,62.0,21.0
11800,20171030,송파구,0.022000000000000002,0.022000000000000002,0.3,0.004,36.0,14.0
11839,20171031,송파구,0.042,0.011000000000000001,0.6,0.005,35.0,16.0
11878,20171101,송파구,0.037000000000000005,0.019,0.5,0.004,35.0,19.0
11917,20171102,송파구,0.034,0.023,0.5,0.004,42.0,25.0
11956,20171103,송파구,0.025,0.027000000000000003,0.4,0.003,33.0,23.0
11995,20171104,송파구,0.02,0.024,0.4,0.004,46.0,36.0
12034,20171105,송파구,0.033,0.012,0.6,0.004,42.0,30.0
12073,20171106,송파구,0.04,0.01,0.5,0.005,30.0,19.0
12112,20171107,송파구,0.046,0.006999999999999999,0.6,0.005,39.0,22.0
12151,20171108,송파구,0.022000000000000002,0.031,0.4,0.004,56.0,26.0
12190,20171109,송파구,0.040999999999999995,0.01,0.5,0.005,50.0,24.0
12229,20171110,송파구,0.033,0.015,0.6,0.006,44.0,20.0
12268,20171111,송파구,0.02,0.018000000000000002,0.4,0.004,74.0,14.0
12307,20171112,송파구,0.033,0.009000000000000001,0.6,0.005,32.0,18.0
12346,20171113,송파구,0.042,0.005,0.6,0.005,37.0,22.0
12385,20171114,송파구,0.021,0.019,0.4,0.004,39.0,14.0
12424,20171115,송파구,0.019,0.021,0.4,0.004,25.0,12.0
12463,20171116,송파구,0.027999999999999997,0.013999999999999999,0.4,0.005,29.0,17.0
12502,20171117,송파구,0.045,0.004,0.7,0.006,51.0,29.0
12541,20171118,송파구,0.013000000000000001,0.024,0.4,0.004,42.0,26.0
12580,20171119,송파구,0.017,0.021,0.4,0.004,27.0,13.0
12619,20171120,송파구,0.036000000000000004,0.01,0.6,0.005,41.0,23.0
12658,20171121,송파구,0.047,0.005,0.8,0.005,58.0,35.0
12697,20171122,송파구,0.037000000000000005,0.012,0.7,0.005,70.0,34.0
12736,20171123,송파구,0.024,0.016,0.4,0.005,28.0,13.0
12775,20171124,송파구,0.026000000000000002,0.012,0.5,0.004,22.0,14.0
12814,20171125,송파구,0.037000000000000005,0.006,0.6,0.005,25.0,17.0
12853,20171126,송파구,0.027000000000000003,0.012,0.6,0.004,29.0,19.0
12892,20171127,송파구,0.043,0.005,0.8,0.005,49.0,30.0
12931,20171128,송파구,0.054000000000000006,0.004,1.1,0.006999999999999999,68.0,46.0
12970,20171129,송파구,0.031,0.011000000000000001,0.5,0.004,64.0,25.0
13009,20171130,송파구,0.017,0.026000000000000002,0.3,0.004,25.0,10.0
13048,20171201,송파구,0.031,0.013000000000000001,0.5,0.004,25.0,13.0
13087,20171202,송파구,0.040999999999999995,0.006,0.8,0.004,43.0,26.0
13126,20171203,송파구,0.035,0.006,0.6,0.005,43.0,29.0
